ID,Name,play_debut
arlis101,Steve Arlin,06/17/1969
armam001,Marcos Armas,05/25/1993
armat001,Tony Armas,09/06/1976
armat002,Tony Armas,08/16/1999
armbc101,Charlie Armbruster,07/17/1905
armbe101,Ed Armbrister,08/31/1973
armbh101,Harry Armbruster,04/30/1906
armbo101,Orville Armbrust,09/18/1934
armer001,Rogelio Armenteros,06/14/2019
armsg101,George Armstrong,04/26/1946
armsh101,Howard Armstrong,09/30/1911
armsj001,Jack Armstrong,06/21/1988
armsm001,Mike Armstrong,08/12/1980
armsr101,Robert Armstrong,06/26/1871
armss001,Shawn Armstrong,08/08/2015
arndh101,Harry Arndt,07/02/1902
arndl001,Larry Arndt,06/06/1989
arnob101,Billy Arnold,04/26/1872
arnoc101,Chris Arnold,09/07/1971
arnoj001,Jamie Arnold,04/20/1999
arnom101,Morrie Arnovich,09/14/1936
arnos001,Scott Arnold,04/07/1988
arnot001,Tony Arnold,08/09/1986
arnsb001,Brad Arnsberg,09/06/1986
arnto101,Orie Arntzen,04/20/1943
arocr001,Rene Arocha,04/09/1993
aro-j001,Jonathan Aro,06/25/2015
arozr001,Randy Arozarena,08/14/2019
arral001,Luis Arraez,05/18/2019
arrej001,Jose Arredondo,05/14/2008
arrig101,Gerry Arrigo,06/12/1961
arrij001,Jake Arrieta,06/10/2010
arrob001,Bronson Arroyo,06/12/2000
arroc001,Christian Arroyo,04/24/2017
arrof001,Fernando Arroyo,06/28/1975
arrol101,Luis Arroyo,04/20/1955
arror001,Rolando Arrojo,04/01/1998
arror101,Rudy Arroyo,06/01/1971
arrue001,Erisbel Arruebarrena,05/23/2014
arteh001,Humberto Arteaga,06/20/2019
arunh101,Harry Arundel,07/19/1875
arunt101,Tug Arundel,05/23/1882
asadr001,Randy Asadoor,09/14/1986
asbej101,Jim Asbell,05/08/1938
asbjc101,Casper Asbjornson,09/17/1928
ascaj001,Jose Ascanio,07/13/2007
aschc001,Cody Asche,07/30/2013
asenm001,Miguel Asencio,04/06/2002
ashba001,Alan Ashby,07/03/1973
ashba002,Andy Ashby,06/10/1991
ashbr101,Richie Ashburn,04/20/1948
ashea001,Alec Asher,08/30/2015
ashft001,Tucker Ashford,09/21/1976
ash-k101,Ken Ash,04/17/1925
ashlb001,Billy Ashley,09/01/1992
ashln001,Nevin Ashley,09/09/2015
asmut101,Tom Asmussen,08/10/1907
asprb101,Bob Aspromonte,09/19/1956
asprk101,Ken Aspromonte,09/02/1957
asseb101,Brian Asselstine,09/14/1976
assep001,Paul Assenmacher,04/12/1986
astae001,Ezequiel Astacio,05/03/2005
astap001,Pedro Astacio,07/03/1992
astib001,Barrett Astin,04/03/2017
astrj101,Joe Astroth,08/13/1945
astuw001,Willians Astudillo,06/30/2018
asuac001,Carlos Asuaje,09/21/2016
atchj001,Justin Atchley,04/07/2001
atchs001,Scott Atchison,07/31/2004
athec101,Charlie Atherton,05/30/1899
athek001,Keith Atherton,07/14/1983
atill001,Luis Atilano,04/23/2010
atkia101,Al Atkinson,05/01/1884
atkib101,Bill Atkinson,09/18/1976
atkie101,Ed Atkinson,10/22/1873
atkig001,Garrett Atkins,08/03/2003
atkij101,James Atkins,09/29/1950
atkil101,Lefty Atkinson,08/05/1927
atkim001,Mitch Atkins,07/29/2009
atkit101,Tommy Atkins,10/02/1909
attrd101,Dick Attreau,09/14/1926
atwet101,Toby Atwell,04/15/1952
atwob101,Bill Atwood,04/15/1936
atz-j101,John Atz,09/24/1902
aubrc101,Chub Aubrey,04/22/1903
aubrm001,Michael Aubrey,05/17/2008
aucod001,Derek Aucoin,05/21/1996
auder001,Rich Aude,09/09/1993
auerr101,Rick Auerbach,04/13/1971
augeb001,Bryan Augenstein,05/13/2009
augud001,Don August,06/02/1988
augud101,Dave Augustine,09/03/1973
auguj001,Jerry Augustine,09/09/1975
aukee101,Elden Auker,08/10/1933
auldt101,Tex Aulds,05/25/1947
aultd101,Doug Ault,09/09/1976
aumop001,Phillippe Aumont,08/23/2012
aurir001,Rich Aurilia,09/06/1995
ausaj001,Joe Ausanio,07/14/1994
ausmb001,Brad Ausmus,07/28/1993
austd101,Dennis Aust,09/06/1965
austh101,Henry Austin,04/28/1873
austj001,Jim Austin,07/04/1991
austj002,Jeff Austin,06/26/2001
austj101,Jimmy Austin,04/19/1909
austr101,Rick Austin,06/21/1970
austt001,Tyler Austin,08/13/2016
autra101,Al Autry,09/14/1976
autrc101,Chick Autry,09/18/1907
autrc102,Chick Autry,04/20/1924
avela001,Abiatal Avelino,09/08/2018
avenb001,Bruce Aven,08/27/1997
avere101,Earl Averill,04/16/1929
avere102,Earl Averill,04/19/1956
avers001,Steve Avery,06/13/1990
averx001,Xavier Avery,05/13/2012
avila001,Alex Avila,08/06/2009
avilb101,Bobby Avila,04/30/1949
avill001,Luis Avilan,07/14/2012
avilm001,Mike Aviles,05/29/2008
avilp001,Pedro Avila,04/11/2019
avilr101,Ramon Aviles,07/10/1977
avrej101,Jay Avrea,04/22/1950
axeld001,Dylan Axelrod,09/07/2011
axfoj001,John Axford,09/15/2009
ayalb001,Benny Ayala,08/27/1974
ayalb002,Bobby Ayala,09/05/1992
ayall001,Luis Ayala,03/31/2003
aybae001,Erick Aybar,05/16/2006
aybam001,Manny Aybar,08/04/1997
aybaw001,Willy Aybar,08/31/2005
aydej101,Jake Aydelott,05/15/1884
ayerb101,Bill Ayers,04/17/1947
ayerd101,Doc Ayers,09/09/1913
aylwd101,Dick Aylward,05/01/1953
ayrab001,Bob Ayrault,06/07/1992
ayraj001,Joe Ayrault,09/01/1996
