Link,Name,From-Team,From-Franchise,# Transactions,# Players Traded Away,# Players Traded For,# Players Total,First Year,Last Year,Year Span,Ongoing,Comp Picks,total_WAR_out,total_WAR_in,WAR_total,total_G_out,total_G_in,G_total,total_PA_out,total_PA_in,PA_total,total_IP_out,total_IP_in,IP_total,total_salary_out,total_salary_in,salary_total
<a href=/player/polap001>polap001</a>,Placido Polanco,Philadelphia Phillies,PHILS,1,1,2,3,2005,2005,0,No,0,19.15,-0.18,-19.33,632,143,-489,2819,65,-2754,0.0,157.0,157.0,4600000.0,0.0,-4600000.0
<a href=/player/polic001>polic001</a>,Cliff Politte,St. Louis Cardinals,CARDS,1,3,2,5,1998,1999,1,No,0,3.97,-0.62,-4.59,475,133,-342,1012,3,-1009,549.0,220.0,-329.0,8470000.0,0.0,-8470000.0
<a href=/player/polic001>polic001</a>,Cliff Politte,Philadelphia Phillies,PHILS,1,1,1,2,2002,2002,0,No,0,1.18,-0.14,-1.32,117,78,-39,0,0,0,320.0,69.0,-251.0,245000.0,0.0,-245000.0
<a href=/player/polig001>polig001</a>,Gus Polidor,California Angels,ANGELS,1,1,1,2,1988,1990,2,No,0,-0.54,-0.07,0.47,97,59,-38,201,203,2,0.0,0.0,0.0,97000.0,0.0,-97000.0
<a href=/player/polig001>polig001</a>,Gus Polidor,Milwaukee Brewers,BREWRS,1,1,1,2,1991,1991,0,No,0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/pollh101>pollh101</a>,Howie Pollet,St. Louis Cardinals,CARDS,3,10,5,15,1951,1954,3,No,0,10.75,2.71,-8.04,1144,382,-762,2713,1234,-1479,1601.0,388.0,-1213.0,41500.0,0.0,-41500.0
<a href=/player/pollh101>pollh101</a>,Howie Pollet,Pittsburgh Pirates,PIRATS,7,12,15,27,1953,1962,9,No,0,9.43,3.47,-5.96,1075,1271,196,3095,3842,747,1449.0,56.0,-1393.0,86000.0,0.0,-86000.0
<a href=/player/poloj101>poloj101</a>,John Poloni,Texas Rangers,RNGRS,1,2,1,3,1977,1981,4,No,0,0.0,11.05,11.05,0,121,121,0,0,0,0.0,2436.0,2436.0,0.0,0.0,0.0
<a href=/player/polol001>polol001</a>,Luis Polonia,Oakland Athletics,ATLTCS,3,5,4,9,1989,1998,9,No,0,13.62,32.12,18.5,801,794,-7,1223,2883,1660,2766.0,771.0,-1995.0,4272766.0,0.0,-4272766.0
<a href=/player/polol001>polol001</a>,Luis Polonia,New York Yankees,YANKS,1,1,2,3,1990,1993,3,No,0,2.38,0.54,-1.84,560,153,-407,2347,83,-2264,0.0,698.0,698.0,200000.0,0.0,-200000.0
<a href=/player/polol001>polol001</a>,Luis Polonia,New York Yankees,YANKS,1,1,1,2,1995,1995,0,No,0,-0.18,0.0,0.18,50,0,-50,90,0,-90,0.0,0.0,0.0,1500000.0,0.0,-1500000.0
<a href=/player/pomed001>pomed001</a>,Drew Pomeranz,Cleveland Indians,INDINS,1,4,1,5,2011,2013,2,No,0,-0.32,1.97,2.29,204,79,-125,247,10,-237,813.0,1274.0,461.0,0.0,0.0,0.0
<a href=/player/pomed001>pomed001</a>,Drew Pomeranz,Colorado Rockies,ROCKS,1,2,2,4,2013,2014,1,No,0,1.75,1.05,-0.7,79,16,-63,0,15,15,465.0,130.0,-335.0,0.0,0.0,0.0
<a href=/player/pomed001>pomed001</a>,Drew Pomeranz,Oakland Athletics,ATLTCS,4,8,5,13,2015,2018,3,Yes,0,5.93,2.94,-2.99,610,354,-256,992,1020,28,691.0,108.0,-583.0,4517500.0,0.0,-4517500.0
<a href=/player/pomed001>pomed001</a>,Drew Pomeranz,San Diego Padres,PADRS,2,2,2,4,2016,2021,5,No,0,3.84,-0.19,-4.03,77,34,-43,3,54,51,949.0,0.0,-949.0,0.0,0.0,0.0
<a href=/player/pomed001>pomed001</a>,Drew Pomeranz,San Francisco Giants,GIANTS,1,2,1,3,2019,2019,0,Yes,0,0.99,0.61,-0.38,83,28,-55,2,109,107,130.0,0.0,-130.0,1500000.0,0.0,-1500000.0
<a href=/player/pomoj101>pomoj101</a>,John Pomorski,Montreal,Montreal,1,1,2,3,1933,1939,6,No,0,-0.02,0.0,0.02,6,0,-6,0,0,0,5.0,0.0,-5.0,0.0,0.0,0.0
<a href=/player/poncc002>poncc002</a>,Cody Ponce,Milwaukee Brewers,BREWRS,1,1,1,2,2019,2019,0,No,0,-0.72,1.85,2.57,35,21,-14,7,22,15,166.0,176.0,10.0,0.0,0.0,0.0
<a href=/player/ponde101>ponde101</a>,Elmer Ponder,Pittsburgh Pirates,PIRATS,1,1,1,2,1921,1922,1,No,0,-0.64,1.12,1.76,32,60,28,35,252,217,268.0,0.0,-268.0,4250.0,0.0,-4250.0
<a href=/player/ponde101>ponde101</a>,Elmer Ponder,Chicago Cubs,CUBS,2,8,5,13,1921,1926,5,No,0,29.39,11.6,-17.79,1120,351,-769,4097,694,-3403,1929.0,2961.0,1032.0,13500.0,0.0,-13500.0
<a href=/player/ponss001>ponss001</a>,Sidney Ponson,Baltimore Orioles,ORLS,1,1,3,4,2003,2005,2,No,0,0.88,-1.54,-2.42,20,20,0,25,0,-25,204.0,251.0,47.0,4250000.0,0.0,-4250000.0
<a href=/player/poolh101>poolh101</a>,Harlin Pool,Oakland,Oakland,1,1,2,3,1934,1934,0,No,0,0.38,0.0,-0.38,127,0,-127,457,0,-457,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/poolj001>poolj001</a>,Jim Poole,Los Angeles Dodgers,DOGRS,1,2,2,4,1990,1990,0,No,0,-0.03,0.0,0.03,6,0,-6,0,0,0,18.0,0.0,-18.0,0.0,0.0,0.0
<a href=/player/poolj001>poolj001</a>,Jim Poole,Cleveland Indians,INDINS,1,2,1,3,1996,1996,0,No,0,-1.36,0.64,2.0,243,38,-205,9,156,147,316.0,0.0,-316.0,500000.0,0.0,-500000.0
<a href=/player/poolj101>poolj101</a>,Jim Poole,Portland,Portland,2,3,5,8,1925,1926,1,No,0,0.46,0.0,-0.46,300,0,-300,1041,0,-1041,63.0,0.0,-63.0,0.0,0.0,0.0
<a href=/player/pop-z001>pop-z001</a>,Zach Pop,Los Angeles Dodgers,DOGRS,1,5,1,6,2018,2018,0,No,0,-0.21,2.49,2.7,29,66,37,41,296,255,217.0,0.0,-217.0,0.0,0.0,0.0
<a href=/player/pop-z001>pop-z001</a>,Zach Pop,Arizona Diamondbacks,DBACKS,1,1,1,2,2020,2021,1,Yes,0,0.06,0.0,-0.06,95,0,-95,2,0,-2,164.0,0.0,-164.0,0.0,0.0,0.0
<a href=/player/poped101>poped101</a>,Dave Pope,Cleveland Indians,INDINS,9,17,16,33,1955,1968,13,No,0,100.62,38.17,-62.45,4524,2758,-1766,15556,10180,-5376,4502.0,562.0,-3940.0,0.0,0.0,0.0
<a href=/player/poped101>poped101</a>,Dave Pope,Baltimore Orioles,ORLS,1,1,1,2,1956,1956,0,No,0,-0.47,0.41,0.88,25,48,23,72,138,66,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/poped101>poped101</a>,Dave Pope,Cleveland Indians,INDINS,1,2,1,3,1958,1960,2,No,0,0.0,0.48,0.48,0,12,12,0,2,2,0.0,27.0,27.0,0.0,0.0,0.0
<a href=/player/popop101>popop101</a>,Paul Popovich,Chicago Cubs,CUBS,3,4,3,7,1967,1973,6,No,0,1.48,-0.34,-1.82,258,333,75,792,861,69,0.0,8.0,8.0,37250.0,0.0,-37250.0
<a href=/player/popop101>popop101</a>,Paul Popovich,Los Angeles Dodgers,DOGRS,1,2,2,4,1969,1979,10,No,0,17.55,18.66,1.11,718,1264,546,2642,4042,1400,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/popop101>popop101</a>,Paul Popovich,Montreal Expos,NATEX,1,1,2,3,1969,1971,2,No,0,-1.66,1.57,3.23,384,150,-234,1079,474,-605,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/popop101>popop101</a>,Paul Popovich,Chicago Cubs,CUBS,1,1,2,3,1974,1976,2,No,0,-0.31,-0.35,-0.04,84,112,28,134,49,-85,0.0,471.0,471.0,0.0,0.0,0.0
<a href=/player/poqut101>poqut101</a>,Tom Poquette,Kansas City Royals,ROYALS,1,1,1,2,1979,1979,0,No,0,0.0,0.0,0.0,66,44,-22,172,162,-10,0.0,0.0,0.0,0.0,0.0,0.0
<a href=/player/porcr001>porcr001</a>,Rick Porcello,Detroit Tigers,TIGRS,6,9,11,20,2014,2019,5,Yes,0,30.16,14.63,-15.53,1425,689,-736,1837,924,-913,5391.0,1331.0,-4060.0,32215000.0,0.0,-32215000.0
<a href=/player/porea001>porea001</a>,Aaron Poreda,Chicago White Sox,WSOX,6,14,12,26,2009,2018,9,Yes,0,7.16,22.73,15.57,991,1029,38,935,3763,2828,4825.0,1688.0,-3137.0,13340000.0,0.0,-13340000.0
