ID,Last,First,nickname,play_debut,HOF
alpew101,Alpermann,Charles Augustus,Whitey,04/13/1906,NOT
alstd101,Alston,Wendell,Dell,05/17/1977,NOT
alstg001,Alston,Garvin James,Garvin,06/06/1996,NOT
alstt101,Alston,Thomas Edison,Tom,04/13/1954,NOT
alstw101,Alston,Walter Emmons,Walter,09/27/1936,HOF
altad001,Altavilla,Daniel,Dan,08/27/2016,NOT
altap001,Altamirano,Porfirio (Ramirez),Porfi,05/09/1982,NOT
altee101,Alten,Ernest Matthias,Ernie,04/17/1920,NOT
altej101,Altenburg,Jesse Howard,Jesse,09/19/1916,NOT
altha001,Altherr,Aaron Samuel,Aaron,06/16/2014,NOT
altid101,Altizer,David Tilden,Dave,05/29/1906,NOT
altmg101,Altman,George Lee,George,04/11/1959,NOT
altoj101,Altobelli,Joseph Salvatore,Joe,04/14/1955,NOT
altrn101,Altrock,Nicholas,Nick,07/14/1898,NOT
altuj001,Altuve,Jose Carlos,Jose,07/20/2011,NOT
alusg101,Alusik,George Joseph,George,09/11/1958,NOT
alvaa001,Alvarez,Abraham,Abe,07/22/2004,NOT
alvac001,Alvarez,Clemente Rafael,Clemente,09/19/2000,NOT
alvad001,Alvarez,Dario Rafael (Espinal),Dario,09/03/2014,NOT
alvad002,Alvarez,Dariel (Camejo),Dariel,08/28/2015,NOT
alvae001,Alvarez,Eduardo Cortes,Eddy,08/05/2020,
alvag001,Alvarez,Gabriel de Jesus,Gabe,06/22/1998,NOT
alvah001,Alvarez,Henderson Javier,Henderson,08/10/2011,NOT
alvaj001,Alvarez,Jose Lino,Jose,10/01/1981,NOT
alvaj002,Alvarez,Juan M.,Juan,09/01/1999,NOT
alvaj003,Alvarez,Jose Ricardo,Jose,06/09/2013,NOT
alvaj004,Alvarado,Jose Antonio (Lizarzabal),Jose,05/04/2017,NOT
alval101,Alvarado,Luis Cesar (Martinez),Luis,09/13/1968,NOT
alvao101,Alvarez,Oswaldo (Gonzalez),Ossie,04/19/1958,NOT
alvao102,Alvarez,Jesus Manuel Orlando (Monge),Orlando,09/01/1973,NOT
alvap001,Alvarez,Pedro Manuel,Pedro,06/16/2010,NOT
alvar001,Alvarez,Roy Emilio,R.J.,09/03/2014,NOT
alvar101,Alvarez,Rogelio (Hernandez),Rogelio,09/18/1960,NOT
alvat001,Alvarez,Cesar Octavio,Tavo,08/21/1995,NOT
alvat002,Alvarez,Antonio Enrique,Tony,09/04/2002,NOT
alvav001,Alvarez,Victor Aurelio,Victor,07/30/2002,NOT
alvaw001,Alvarez,Wilson Eduardo (Fuenmayor),Wilson,07/24/1989,NOT
alvay001,Alvarez,Yordan Ruben,Yordan,06/09/2019,
alvim101,Alvis,Roy Maxwell,Max,09/11/1962,NOT
alvob101,Alvord,William Crawford,Billy,04/30/1885,NOT
alyeb101,Alyea,Garrabrant Ryerson,Brant,09/11/1965,NOT
alzoa001,Alzolay,Adbert Marcelo,Adbert,06/20/2019,
amalj101,Amalfitano,John Joseph,Joey,05/02/1954,NOT
amara001,Amarista,Alexi Jose (Azocar),Alexi,04/26/2011,NOT
amarr001,Amaral,Richard Louis,Rich,05/27/1991,NOT
amarr002,Amaro,"Ruben, Jr.",Ruben,06/08/1991,NOT
amarr101,Amaro,Ruben (Mora),Ruben,06/29/1958,NOT
amblw101,Ambler,Wayne Harper,Wayne,06/04/1937,NOT
ambrc001,Ambres,Raymond Payne,Chip,07/20/2005,NOT
ambrh001,Ambriz,Hector,Hector,04/30/2010,NOT
ambut001,Amburgey,Tommy Wayne,Trey,07/16/2021,
amele001,Amelung,Edward Allen,Ed,07/28/1984,NOT
amesr101,Ames,Leon Kessling,Red,09/14/1903,NOT
amess001,Ames,Steven C.,Steve,07/30/2013,NOT
ameza001,Amezaga,Alfredo (Delgado),Alfredo,05/24/2002,NOT
amold101,Amole,Morris F.,Doc,08/19/1897,NOT
amors101,Amoros,Edmundo (Isasi),Sandy,08/22/1952,NOT
amorv101,Amor,Vicente (Alvarez),Vicente,04/16/1955,NOT
anckw101,Ancker,Walter,Walter,09/03/1915,NOT
andea001,Anderson,Allan Lee,Allan,06/11/1986,NOT
andea101,Anderson,Andy Holm,Andy,05/10/1948,NOT
andea102,Anderson,Alfred Walton,Alf,04/20/1941,NOT
andeb001,Anderson,Brady Kevin,Brady,04/04/1988,NOT
andeb002,Anderson,Brian James,Brian,09/10/1993,NOT
andeb003,Anderson,Brian Nikola,Brian,08/16/2005,NOT
andeb004,Anderson,Brett Franklin,Brett,04/10/2009,NOT
andeb005,Anderson,Bryan Douglas,Bryan,04/15/2010,NOT
andeb006,Anderson,Brian Wade,Brian,09/01/2017,NOT
andeb101,Anderson,Karl Adam,Bud,06/11/1982,NOT
andeb102,Anderson,Robert Carl,Bob,07/31/1957,NOT
andeb103,Anderson,William Edward,Bill,09/10/1925,NOT
andec001,Anderson,Robert Chase,Chase,05/11/2014,NOT
andec002,Anderson,Cody Andrew,Cody,06/21/2015,NOT
andec101,Anderson,Norman Craig,Craig,06/23/1961,NOT
anded001,Anderson,David Carter,Dave,05/08/1983,NOT
anded002,Anderson,Drew Thomas,Drew,09/11/2006,NOT
anded003,Anderson,Andrew James,Drew,08/01/2017,NOT
anded101,Anderson,Dwain Cleaven,Dwain,09/03/1971,NOT
anded102,Anderson,David S.,Dave,08/24/1889,NOT
andef101,Anderson,John Frederick,Fred,09/25/1909,NOT
andef102,Anderson,Ferrell Jack,Ferrell,04/16/1946,NOT
