signed,FreeAgent,year,first_signed,last_signed,first_fa,last_fa,signed_retroid,fa_retroid
Michael Main,Gary Matthews,2007,Michael,Main,Gary,Matthews,Michael Main,mattg002
Wendell Fairley,Moises Alou,2007,Wendell,Fairley,Moises,Alou,Wendell Fairley,aloum001
Josh Smoker,Alfonso Soriano,2007,Josh,Smoker,Alfonso,Soriano,smokj001,soria001
Nick Noonan,Moises Alou,2007,Nick,Noonan,Moises,Alou,noonn001,aloum001
Jon Gilmore,Danys Baez,2007,Jon,Gilmore,Danys,Baez,Jon Gilmore,baezd001
Todd Frazier,Rich Aurilia,2007,Todd,Frazier,Rich,Aurilia,frazt001,aurir001
Julio Borbon,Carlos Lee,2007,Julio,Borbon,Carlos,Lee,borbj001,lee-c001
Clayton Mortensen,Jeff Suppan,2007,Clayton,Mortensen,Jeff,Suppan,mortc003,suppj001
Travis d'Arnaud,David Dellucci,2007,Travis,d'Arnaud,David,Dellucci,darnt001,delld001
Brett Cecil,Justin Speier,2007,Brett,Cecil,Justin,Speier,cecib001,speij001
James Adkins,Julio Lugo,2007,James,Adkins,Julio,Lugo,James Adkins,lugoj001
Kellen Kulbacki,Woody Williams,2007,Kellen,Kulbacki,Woody,Williams,Kellen Kulbacki,willw001
Sean Doolittle,Barry Zito,2007,Sean,Doolittle,Barry,Zito,dools001,zitob001
Eddie Kunz,Roberto Hernandez,2007,Eddie,Kunz,Roberto,Hernandez,kunze001,hernr001
Jackson Williams,Jason Schmidt,2007,Jackson,Williams,Jason,Schmidt,willj005,schmj001
Neil Ramirez,Gary Matthews,2007,Neil,Ramirez,Gary,Matthews,ramin001,mattg002
Justin Jackson,Frank Catalanotto,2007,Justin,Jackson,Frank,Catalanotto,Justin Jackson,cataf001
Drew Cumberland,Dave Roberts,2007,Drew,Cumberland,Dave,Roberts,Drew Cumberland,robed001
Nathan Vineyard,Chad Bradford,2007,Nathan,Vineyard,Chad,Bradford,Nathan Vineyard,bradc001
Josh Donaldson,Juan Pierre,2007,Josh,Donaldson,Juan,Pierre,donaj001,pierj002
Michael Burgess,Jose Guillen,2007,Michael,Burgess,Jose,Guillen,Michael Burgess,guilj001
Wes Roemer,Craig Counsell,2007,Wes,Roemer,Craig,Counsell,Wes Roemer,counc001
Charlie Culberson,Mike Stanton,2007,Charlie,Culberson,Mike,Stanton,culbc001,stanm003
Matt Mangini,Gil Meche,2007,Matt,Mangini,Gil,Meche,mangm001,mechg001
Kyle Lotzkar,Scott Schoeneweis,2007,Kyle,Lotzkar,Scott,Schoeneweis,Kyle Lotzkar,schos001
Tommy Hunter,Mark DeRosa,2007,Tommy,Hunter,Mark,DeRosa,huntt002,derom001
Nick Hagadone,Alex Gonzalez,2007,Nick,Hagadone,Alex,Gonzalez,hagan001,gonza002
Trystan Magnuson,Ted Lilly,2007,Trystan,Magnuson,Ted,Lilly,magnt001,lillt001
Mitch Canham,Chan Ho Park,2007,Mitch,Canham,Chan Ho,Park,Mitch Canham,parkc002
Jon Bachanov,Adam Kennedy,2007,Jon,Bachanov,Adam,Kennedy,Jon Bachanov,kenna001
Corey Brown,Frank Thomas,2007,Corey,Brown,Frank,Thomas,browc003,thomf001
Brandon Hamilton,Jamie Walker,2007,Brandon,Hamilton,Jamie,Walker,Brandon Hamilton,walkj001
Ed Easley,Miguel Batista,2007,Ed,Easley,Miguel,Batista,easle001,batim001
Ryan Dent,Keith Foulke,2007,Ryan,Dent,Keith,Foulke,Ryan Dent,foulk001
